Date of Exploit,Blockchain,Protocol Name,Amount Stolen (USD),Attack Type,Root Cause,Protocol Category,Exploit Method,No. of Transactions,Duration of Exploit,Funds Recovered,Reference Link
11/10/2022,Ethereum,DFX V2,4000000,Reentrancy,"The flash function lacked reentrancy protection: attacker took out flash-loan, called deposit() in the callback, making contract believe loan repaid while allowing LP tokens withdrawal, effectively draining the pool.",Decentralized Exchange (DEX),"Multi-Transaction Sequence, Flash-Loan Assisted",Multiple,Under 30 minutes,No,https://www.halborn.com/blog/post/explained-the-dfx-finance-hack-november-2022
3/31/2022,Other,Ola Finance,4000000,Reentrancy,A reentrancy flaw in token wrappers allowed recursive calls to borrow assets from the lending pool without proper validation.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://rekt.news/voltage-finance-rekt
3/27/2022,Ethereum,Revest Finance,2010000,Access Control,"An attacker targeted a vulnerability in the FNFT contract registry, allowing unauthorized withdrawals.",NFT,Single Transaction,Single,Under 5 minutes,Partial,https://rekt.news/revest-finance-rekt
1/28/2022,BNB Chain,Qubit,80000000,Access Control,Attackers used a fake deposit message to trick the bridge contract into minting unbacked qXETH.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 5 minutes,No,https://rekt.news/qubit-rekt
10/2/2022,"BNB Chain, Ethereum",Transit Swap,21000000,Access Control,A flaw in the routing contract allowed arbitrary external calls with user-supplied parameters.,DEX aggregator,Multi-Transaction Sequence,Multiple,Under 20 minutes,Partial,https://rekt.news/transit-swap-rekt
8/1/2022,Ethereum,Nomad,190000000,Access Control,"A faulty initialization set the committed root to 0x00, enabling anyone to submit valid-looking proofs and withdraw funds.",Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 1 day,Partial,https://rekt.news/nomad-rekt
3/28/2023,BNB Chain,Safemoon,8900000,Logic Bug,A vulnerability in the liquidity pool contract allowed an attacker to remove liquidity due to an unintentionally public burn function.,Decentralized Exchange (DEX),Single Transaction,Single,Under 5 minutes,Partial,https://rekt.news/safemoon-rekt
11/30/2023,Ethereum,Florence Finance,1450000,Access Control,The attacker exploited admin privileges to withdraw locked lending pool funds.,Lending and Borrowing,Single Transaction,Single,Under 5 minutes,No,https://rekt.news/plenty-of-phish
11/18/2023,Ethereum,Kronos Research,26000000,Access Control,A compromised API/private key allowed attackers to withdraw significant amounts of liquidity.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 1 hour,No,https://rekt.news/kronos-rekt
2/20/2023,"Ethereum, Arbitrum",Dexible V2,2000000,Access Control,Attackers exploited a flawed internal call that allowed unauthorized token transfers.,DEX aggregator,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/dexible-rekt
10/23/2023,Ethereum,Maestro,465000,Access Control,"The Maestro router contract allowed arbitrary transferFrom calls, letting attackers drain any token previously approved by users.",Infrastructure,Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/unibot-rekt
3/17/2023,Ethereum,ParaSpace Lending V1,5000000,Logic Bug,A bookkeeping flaw allowed attackers to over-withdraw NFT-backed loans.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,Yes,https://github.com/SunWeb3Sec/DeFiHackLabs?tab=readme-ov-file
